"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
29	0.969418917745158	9	15	"CO2"	0
30	0.974282459728052	10	15	"CO2"	0
1	0.979163263157513	11	16	"CO2"	0
2	0.975824930045932	9	16	"CO2"	0
3	0.977754556732513	9	16	"CO2"	0
4	0.975633807899818	9	16	"CO2"	0
5	0.981897240925969	10	16	"CO2"	0
6	0.98197429058256	8	16	"CO2"	0
7	0.979231110219507	7	16	"CO2"	0
8	0.974217840701815	8	16	"CO2"	0
9	0.975272828873841	7	16	"CO2"	0
10	0.978415386773266	10	16	"CO2"	0
11	0.982993760412247	7	16	"CO2"	0
12	0.985424542018029	8	16	"CO2"	0
13	0.975103870042325	9	16	"CO2"	0
14	0.985952450186239	10	16	"CO2"	0
15	0.974948815077972	8	16	"CO2"	0
16	0.978982493113712	8	16	"CO2"	0
17	0.979250793318687	8	16	"CO2"	0
18	0.983831281382342	10	16	"CO2"	0
19	0.968346079688239	7	16	"CO2"	0
20	0.974673983305697	9	16	"CO2"	0
21	0.982882688320663	9	16	"CO2"	0
22	0.982369053731922	10	16	"CO2"	0
23	0.980374650618144	11	16	"CO2"	0
24	0.978168122479812	7	16	"CO2"	0
25	0.983535060802364	6	16	"CO2"	0
26	0.968041222112688	11	16	"CO2"	0
27	0.973128488862089	10	16	"CO2"	0
28	0.983558781779699	8	16	"CO2"	0
29	0.988388035626622	8	16	"CO2"	0
30	0.977561980234678	8	16	"CO2"	0
1	0.982157028590523	6	17	"CO2"	0
2	0.96421287331	8	17	"CO2"	0
3	0.970494324955002	9	17	"CO2"	0
4	0.984593519142085	11	17	"CO2"	0
5	0.976196226256602	8	17	"CO2"	0
6	0.980673450814925	7	17	"CO2"	0
7	0.98307380667578	8	17	"CO2"	0
8	0.977118542490711	10	17	"CO2"	0
9	0.976904891304348	14	17	"CO2"	0
10	0.985167382807759	7	17	"CO2"	0
11	0.979938677419119	6	17	"CO2"	0
12	0.969292853320219	7	17	"CO2"	0
13	0.97954452048675	9	17	"CO2"	0
14	0.978848321419909	7	17	"CO2"	0
15	0.974538590900419	11	17	"CO2"	0
16	0.971267948877719	7	17	"CO2"	0
17	0.990833030793095	9	17	"CO2"	0
18	0.983844244906192	7	17	"CO2"	0
19	0.985606932384838	12	17	"CO2"	0
20	0.960968650318979	7	17	"CO2"	0
21	0.980933904201231	9	17	"CO2"	0
22	0.977721070494469	7	17	"CO2"	0
