"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.983637925794748	9	14	"CO2"	"Yes"	0.1
3	0.984138433386039	9	14	"CO2"	"Yes"	0.1
4	0.979641146097412	9	14	"CO2"	"Yes"	0.1
5	0.973144766451223	10	14	"CO2"	"Yes"	0.1
6	0.968834550865801	13	14	"CO2"	"Yes"	0.1
7	0.976972251208121	9	14	"CO2"	"Yes"	0.1
8	0.981844286129689	9	14	"CO2"	"Yes"	0.1
9	0.9852575566309	11	14	"CO2"	"Yes"	0.1
10	0.971723996723997	9	14	"CO2"	"Yes"	0.1
11	0.973016111174346	11	14	"CO2"	"Yes"	0.1
12	0.979995398761979	13	14	"CO2"	"Yes"	0.1
13	0.974874625243143	11	14	"CO2"	"Yes"	0.1
14	0.977864839268803	10	14	"CO2"	"Yes"	0.1
15	0.976303309272239	8	14	"CO2"	"Yes"	0.1
16	0.9745469548383	8	14	"CO2"	"Yes"	0.1
17	0.97039651990147	11	14	"CO2"	"Yes"	0.1
18	0.983224431201817	11	14	"CO2"	"Yes"	0.1
19	0.981024297529152	10	14	"CO2"	"Yes"	0.1
20	0.969290315595734	11	14	"CO2"	"Yes"	0.1
21	0.981006866104461	11	14	"CO2"	"Yes"	0.1
22	0.970765373557345	12	14	"CO2"	"Yes"	0.1
23	0.978202386407998	10	14	"CO2"	"Yes"	0.1
24	0.96519997479971	8	14	"CO2"	"Yes"	0.1
25	0.984514934472913	9	14	"CO2"	"Yes"	0.1
26	0.966186340307935	12	14	"CO2"	"Yes"	0.1
27	0.971235458729388	11	14	"CO2"	"Yes"	0.1
28	0.964421926288415	11	14	"CO2"	"Yes"	0.1
29	0.967112236173626	10	14	"CO2"	"Yes"	0.1
30	0.983965713004614	10	14	"CO2"	"Yes"	0.1
1	0.973562641887968	10	15	"CO2"	"Yes"	0.1
2	0.974920289855073	9	15	"CO2"	"Yes"	0.1
3	0.972805026133784	10	15	"CO2"	"Yes"	0.1
4	0.971090501671511	9	15	"CO2"	"Yes"	0.1
5	0.978269947021695	13	15	"CO2"	"Yes"	0.1
6	0.965892620098303	10	15	"CO2"	"Yes"	0.1
7	0.977154883024325	11	15	"CO2"	"Yes"	0.1
8	0.983219202898551	11	15	"CO2"	"Yes"	0.1
9	0.979646381578947	8	15	"CO2"	"Yes"	0.1
10	0.972774649574698	9	15	"CO2"	"Yes"	0.1
11	0.972784191328545	10	15	"CO2"	"Yes"	0.1
12	0.965903555360103	9	15	"CO2"	"Yes"	0.1
13	0.978403516811786	11	15	"CO2"	"Yes"	0.1
14	0.979921550606424	9	15	"CO2"	"Yes"	0.1
15	0.981682093782514	9	15	"CO2"	"Yes"	0.1
16	0.970084280969231	9	15	"CO2"	"Yes"	0.1
17	0.977438739999282	12	15	"CO2"	"Yes"	0.1
18	0.963623547505126	11	15	"CO2"	"Yes"	0.1
19	0.967528249980447	9	15	"CO2"	"Yes"	0.1
20	0.968877081156031	11	15	"CO2"	"Yes"	0.1
21	0.981316590563166	11	15	"CO2"	"Yes"	0.1
22	0.971065439842701	10	15	"CO2"	"Yes"	0.1
23	0.968920448267434	9	15	"CO2"	"Yes"	0.1
24	0.97881488186273	11	15	"CO2"	"Yes"	0.1
25	0.969988338325749	8	15	"CO2"	"Yes"	0.1
26	0.975330662769086	11	15	"CO2"	"Yes"	0.1
27	0.983322570229254	9	15	"CO2"	"Yes"	0.1
28	0.985695335496358	10	15	"CO2"	"Yes"	0.1
29	0.969198367999783	10	15	"CO2"	"Yes"	0.1
30	0.972677324589799	11	15	"CO2"	"Yes"	0.1
1	0.980438998341812	11	16	"CO2"	"Yes"	0.1
2	0.97551953969587	9	16	"CO2"	"Yes"	0.1
3	0.976355588472651	11	16	"CO2"	"Yes"	0.1
4	0.975817438692098	11	16	"CO2"	"Yes"	0.1
